SHIP_MODE,SEGMENT,COUNTRY,CITY,STATE,POSTAL_CODE,REGION,CATEGORY,SUB_CATEGORY,SALES,QUANTITY,DISCOUNT,PROFIT,PROFIT_MARGIN,DISCOUNT_AMOUNT,PROFIT_CATEGORY
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Bookcases,261.96,2,0.0,41.9136,16.000000000000004,0.0,LOW
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Chairs,731.94,3,0.0,219.582,30.0,0.0,HIGH
Second Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Labels,14.62,2,0.0,6.8714,47.0,0.0,LOW
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Furniture,Tables,957.5775,5,0.45,-383.031,-40.0,430.909875,LOSS
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Office Supplies,Storage,22.368,2,0.2,2.5164,11.25,4.4736,LOW
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Furnishings,48.86,7,0.0,14.1694,28.999999999999996,0.0,LOW
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Art,7.28,4,0.0,1.9656,27.0,0.0,LOW
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,907.152,6,0.2,90.7152,10.0,181.43040000000002,LOW
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Binders,18.504,3,0.2,5.7825,31.249999999999993,3.7008000000000005,LOW
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Appliances,114.9,5,0.0,34.47,30.0,0.0,LOW
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Tables,1706.184,9,0.2,85.3092,5.0,341.2368,LOW
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,911.424,4,0.2,68.3568,7.500000000000001,182.28480000000002,LOW
Standard Class,Consumer,United States,Concord,North Carolina,28027,South,Office Supplies,Paper,15.552,3,0.2,5.4432,35.0,3.1104000000000003,LOW
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Binders,407.976,3,0.2,132.5922,32.49999999999999,81.5952,HIGH
Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Appliances,68.81,5,0.8,-123.858,-180.0,55.048,LOSS
Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Binders,2.544,3,0.8,-3.816,-150.0,2.0352,LOSS
Standard Class,Consumer,United States,Madison,Wisconsin,53711,Central,Office Supplies,Storage,665.88,6,0.0,13.3176,2.0,0.0,LOW
Second Class,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,Storage,55.5,2,0.0,9.99,18.0,0.0,LOW
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Art,8.56,2,0.0,2.4824,28.999999999999996,0.0,LOW
Second Class,Consumer,United States,San Francisco,California,94109,West,Technology,Phones,213.48,3,0.2,16.011,7.5,42.696,LOW
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Binders,22.72,4,0.2,7.384,32.5,4.544,LOW
Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Art,19.46,7,0.0,5.0596,25.999999999999996,0.0,LOW
Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Appliances,60.34,7,0.0,15.6884,25.999999999999996,0.0,LOW
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,71.372,2,0.3,-1.0196,-1.4285714285714286,21.4116,LOSS
Standard Class,Consumer,United States,Orem,Utah,84057,West,Furniture,Tables,1044.63,3,0.0,240.2649,23.0,0.0,HIGH
Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,11.648,2,0.2,4.2224,36.25000000000001,2.3296,LOW
Second Class,Consumer,United States,Los Angeles,California,90049,West,Technology,Accessories,90.57,3,0.0,11.7741,13.0,0.0,LOW
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,3083.43,7,0.5,-1665.0522,-54.0,1541.715,LOSS
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,9.618,2,0.7,-7.0532,-73.33333333333334,6.7326,LOSS
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,124.2,3,0.2,15.525,12.5,24.840000000000003,LOW
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Envelopes,3.264,2,0.2,1.1016,33.75,0.6528,LOW
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,86.304,6,0.2,9.7092,11.249999999999998,17.2608,LOW
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,6.858,6,0.7,-5.715,-83.33333333333334,4.800599999999999,LOSS
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,15.76,2,0.2,3.546,22.499999999999996,3.152,LOW
Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Paper,29.472,3,0.2,9.9468,33.75,5.894400000000001,LOW
First Class,Corporate,United States,Richardson,Texas,75080,Central,Technology,Phones,1097.544,7,0.2,123.4737,11.249999999999998,219.50880000000004,HIGH
First Class,Corporate,United States,Richardson,Texas,75080,Central,Furniture,Furnishings,190.92,5,0.6,-147.963,-77.5,114.55199999999999,LOSS
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,113.328,9,0.2,35.415,31.25,22.6656,LOW
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,532.3992,3,0.32,-46.9764,-8.823529411764707,170.367744,LOSS
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,212.058,3,0.3,-15.147,-7.142857142857144,63.617399999999996,LOSS
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Technology,Phones,371.168,4,0.2,41.7564,11.25,74.23360000000001,LOW
Standard Class,Corporate,United States,Naperville,Illinois,60540,Central,Technology,Phones,147.168,4,0.2,16.5564,11.249999999999998,29.433600000000002,LOW
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,77.88,2,0.0,3.894,5.0,0.0,LOW
Standard Class,Corporate,United States,Melbourne,Florida,32935,South,Office Supplies,Storage,95.616,2,0.2,9.5616,10.0,19.1232,LOW
First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Technology,Accessories,45.98,2,0.0,19.7714,43.00000000000001,0.0,LOW
First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Office Supplies,Binders,17.46,2,0.0,8.2062,47.0,0.0,LOW
Second Class,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,Storage,211.96,4,0.0,8.4784,4.0,0.0,LOW
Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Accessories,45.0,3,0.0,4.95,11.0,0.0,LOW
Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Phones,21.8,2,0.0,6.104,27.999999999999996,0.0,LOW
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Binders,38.22,6,0.0,17.9634,47.0,0.0,LOW
